551.6574,548.5987,546.4958,544.9253,543.2298,541.4428,539.9461,538.6146,537.4521,536.4518,535.5828,534.8742,534.3265,533.9405,533.6795,533.5957,533.662,533.8731,534.2497,534.7749,535.4535,536.2992,537.2695,538.413,539.7313,541.1731,542.7743,544.5484,546.4303,548.5024,550.7282,553.1218
570.6608,567.5999,565.4904,563.909,562.1814,560.3765,558.8748,557.5468,556.3595,555.3196,554.4461,553.7217,553.153,552.7378,552.4943,552.3979,552.4418,552.6377,552.993,553.5015,554.1613,554.9858,555.962,557.097,558.3667,559.812,561.4129,563.1358,565.0244,567.0778,569.2719,571.6302
589.8873,586.826,584.694,583.1012,581.3504,579.5068,578.011,576.6614,575.4539,574.4143,573.5397,572.8003,572.2125,571.7724,571.505,571.3921,571.4182,571.6127,571.9495,572.4363,573.101,573.8907,574.8475,575.96,577.2296,578.6578,580.2379,581.9521,583.8289,585.8525,588.0577,590.3823
609.2934,606.2322,604.1258,602.5011,600.7397,598.8904,597.3756,595.9998,594.7882,593.7386,592.8291,592.0823,591.4861,591.0412,590.7476,590.6108,590.6311,590.8,591.1268,591.5982,592.2408,593.0182,593.9561,595.0554,596.312,597.7042,599.2708,600.9662,602.8323,604.8548,607.0357,609.3519
629.0011,625.8956,623.7515,622.1332,620.3462,618.4954,616.9548,615.5723,614.336,613.2635,612.3423,611.5848,610.9576,610.5013,610.2016,610.0585,610.045,610.2113,610.508,610.9827,611.5994,612.3583,613.2803,614.3555,615.595,616.9833,618.5276,620.2107,622.0427,624.0416,626.1812,628.5055
648.9003,645.7656,643.6362,642.005,640.1805,638.3165,636.7602,635.3595,634.1163,633.0225,632.094,631.3115,630.6885,630.1942,629.8778,629.71,629.695,629.834,630.1242,630.5716,631.1726,631.9239,632.828,633.8884,635.1072,636.4823,638.0003,639.6524,641.484,643.4715,645.6242,647.8994
669.0487,665.89,663.7528,662.0967,660.2407,658.3661,656.7977,655.3873,654.116,653.0071,652.0604,651.2624,650.6175,650.1236,649.7833,649.6084,649.5634,649.6906,649.9645,650.4001,650.9829,651.7097,652.6031,653.6461,654.8317,656.1993,657.6918,659.3512,661.1563,663.1257,665.2447,667.4961
689.39,686.2369,684.1246,682.4036,680.5405,678.6516,677.0577,675.6296,674.3549,673.2263,672.2695,671.4527,670.7842,670.2731,669.9329,669.7259,669.6886,669.7849,670.0441,670.4532,671.0087,671.7308,672.6001,673.6177,674.8049,676.1401,677.6221,679.2593,681.0427,682.9732,685.0993,687.3467
710.0132,706.826,704.7223,702.9912,701.1023,699.1866,697.5738,696.1444,694.8344,693.6938,692.7082,691.873,691.1939,690.6828,690.3062,690.0851,690.0143,690.1201,690.3464,690.7493,691.2853,691.9793,692.8346,693.8371,694.9958,696.3144,697.7801,699.4028,701.1647,703.08,705.1746,707.4119
730.8506,727.6511,725.538,723.8121,721.9001,719.9492,718.3271,716.8536,715.5572,714.3893,713.3899,712.5473,711.8536,711.3004,710.9079,710.689,710.5938,710.6616,710.8849,711.2521,711.7907,712.4736,713.3135,714.2944,715.4367,716.7279,718.1924,719.7679,721.544,723.4195,725.4821,727.696
751.9405,748.7153,746.5989,744.8447,742.9009,740.9545,739.3177,737.8333,736.5067,735.3405,734.3163,733.4576,732.7414,732.1802,731.7712,731.5163,731.4069,731.4708,731.6482,732.0245,732.5287,733.186,734.0107,734.9649,736.0902,737.3719,738.8072,740.3861,742.1177,744.0011,746.0369,748.2343
773.2374,770.0787,767.8868,766.1519,764.1788,762.205,760.5526,759.0706,757.727,756.5281,755.49,754.6104,753.8725,753.301,752.8668,752.5978,752.4793,752.5024,752.6963,753.0273,753.5331,754.155,754.9685,755.9225,757.0247,758.2666,759.6753,761.2304,762.9427,764.8354,766.8248,769.0168
794.8591,791.62,789.497,787.6776,785.6868,783.7232,782.0418,780.5316,779.1745,777.957,776.8971,775.9979,775.2589,774.6558,774.2187,773.9193,773.7829,773.8008,773.9595,774.289,774.7305,775.3722,776.1598,777.0802,778.1595,779.4045,780.7993,782.3489,784.0162,785.8542,787.8875,790.0123
816.6942,813.4599,811.3069,809.4736,807.479,805.4652,803.7865,802.2513,800.882,799.6415,798.5814,797.6584,796.8799,796.2855,795.7866,795.4889,795.3453,795.3377,795.4683,795.786,796.2346,796.8285,797.5845,798.5038,799.5698,800.7848,802.1593,803.6555,805.3382,807.18,809.136,811.2704
